Cantidad;Proveedor;Total;Temporada;Fecha;Color;Talle;Familia N1;Familia N2;Familia N3;Categorias;Art.Contenedor;Artículo;Marca
1,00;DESCANSAR S.A.;10.989,00;CLASICO;02/01/2023;VARIOS;UNICO;OUTDOOR Y TIEMPO LIBRE;CAMPING;REPOSERAS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;644400 - 50008 DESCANSAR REPOSERA 2022;50008 DESCANSAR REPOSERA 2022 VARIOS UNICO;DESCANSAR
1,00;EZEIZA MORA HERNAN ARIEL (SIRIS);7.641,50;VERANO MODA;02/01/2023;NEGRO/PELTRE;40;CALZADO;ZUECOS;ZUECOS MODA;6-12 SIN INTERES 6-12 SIN INTERES|LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;641786 - 703 SIRIS ZUECO MODA 2021;703 SIRIS ZUECO MODA 2021 NEGRO/PELTRE 40;SIRIS
1,00;CIRON S.A. (SAVAGE);11.892,00;INVIERNO MODA;02/01/2023;NEGRO;38;CALZADO;BOTAS Y BORCEGOS;BORCEGOS;BOTAS OFERTA LOTE 2 ;630052 - INCA 2 SAVAGE BORCEGO 2021;INCA 2 SAVAGE BORCEGO 2021 NEGRO 38;SAVAGE
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);19.487,00;VERANO MODA;02/01/2023;NEGRO/REPTIL;39;CALZADO;SANDALIAS;SANDALIAS TACO ALTO;DISCONTINUOS OFERTAS VERANO ;AC-5521790 - 6282/400/REP VIZZANO SANDALIA T/A 2019;6282/400/REP VIZZANO SANDALIA T/A 2019 NEGRO/REPTIL 39;VIZZANO
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);12.275,99;VERANO MODA;02/01/2023;NEGRO;38;CALZADO;SANDALIAS;SANDALIAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643423 - 6283/2000/19695 VIZZANO SANDALIA 2022;6283/2000/19695 VIZZANO SANDALIA 2022 NEGRO 38;VIZZANO
1,00;RIMON CASSIS E HIJOS S.A.;10.989,00;VERANO MODA;02/01/2023;BEIGE;38;CALZADO;SANDALIAS;SANDALIAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;644065 - 61723 AZALEIA SANDALIA MODA 2022;61723 AZALEIA SANDALIA MODA 2022 BEIGE 38;AZALEIA
1,00;SUN SOL S.R.L;8.178,31;VERANO;02/01/2023;MARRON;42;CALZADO;OJOTAS Y CHINELAS;CHINELA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;642234 - DO1105 DOX CHINELA 2021;DO1105 DOX CHINELA 2021 MARRON 42;DOX
1,00;;1.329,99;CLASICO;02/01/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;;533,49;CLASICO;02/01/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;RIMON CASSIS E HIJOS S.A.;2.328,29;VERANO;02/01/2023;NEGRO;38;CALZADO;OJOTAS Y CHINELAS;OJOTAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;629260 - 17157 GRENDHA OJOTA MODA 2020;17157 GRENDHA OJOTA MODA 2020 NEGRO 38;GRENDHA
